,LOAD/DISCHARGE,LOAD/DISCHARGE CUSTOMER,DELIVER TO,COLLECT FROM,co2 LBS
0,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,SOUTH SHIELDS,230.04168
1,DARLINGTON,ALDI DARLINGTON,Leeds,SOUTH SHIELDS,230.04168
2,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1054.9092
3,NEWCASTLE UPON TYNE,Murray Hogg,SOUTH SHIELDS,SOUTH SHIELDS,1054.9092
4,GATESHEAD,WHISTL FULFILMENT (UNIT 1),SOUTH SHIELDS,SOUTH SHIELDS,1054.9092
5,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1054.9092
6,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,SOUTH SHIELDS,1054.9092
7,UNIT6 THE GROVE IND EST CONSET,GREENCROFT BOTTLING,SOUTH SHIELDS,SOUTH SHIELDS,1054.9092
8,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,SOUTH SHIELDS,1353.77808
9,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,EAGLESCLIFFE,1353.77808
10,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,SOUTH SHIELDS,1353.77808
11,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,EAGLESCLIFFE,1353.77808
12,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,SOUTH SHIELDS,1353.77808
13,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,SOUTH SHIELDS,1353.77808
14,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,SOUTH SHIELDS,931.02024
15,WASHINGTON,VANTEC EUROPE LTD,SOUTH SHIELDS,SOUTH SHIELDS,931.02024
16,JARROW,J BARBOUR & SONS,SOUTH SHIELDS,SOUTH SHIELDS,931.02024
17,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,931.02024
18,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,931.02024
19,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,870.66408
20,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,870.66408
21,UNIT6 THE GROVE IND EST CONSET,GREENCROFT BOTTLING,SOUTH SHIELDS,SOUTH SHIELDS,870.66408
22,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,SOUTH SHIELDS,1394.01552
23,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,EAGLESCLIFFE,1394.01552
24,NORTH SHIELDS,FORMICA GROUP,SOUTH SHIELDS,SOUTH SHIELDS,1394.01552
25,BLYTH,APS LTD,SOUTH SHIELDS,BLYTH,1394.01552
26,SHEFFIELD,NEWELL AND WRIGHT,SOUTH SHIELDS,SOUTH SHIELDS,1394.01552
27,SHEFFIELD,NEWELL AND WRIGHT,SOUTH SHIELDS,SOUTH SHIELDS,1394.01552
28,JARROW,J BARBOUR & SONS LTD,SOUTH SHIELDS,SOUTH SHIELDS,875.9584800000001
29,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,875.9584800000001
30,PETERLEE,NSK BEARINGS EUROPE LTD,SOUTH SHIELDS,SOUTH SHIELDS,875.9584800000001
31,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,875.9584800000001
32,SUNDERLAND,THE BATTERY PLANT (NOT VANTEC),SOUTH SHIELDS,SOUTH SHIELDS,792.5716800000001
33,SUNDERLAND,THE BATTERY PLANT (NOT VANTEC),SOUTH SHIELDS,SOUTH SHIELDS,792.5716800000001
34,HARTLEPOOL,J&B RECYCLING,SOUTH SHIELDS,SOUTH SHIELDS,792.5716800000001
35,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,792.5716800000001
36,SHEFFIELD,NEWELL AND WRIGHT,SOUTH SHIELDS,SOUTH SHIELDS,792.5716800000001
37,SHEFFIELD,NEWELL AND WRIGHT,SOUTH SHIELDS,SOUTH SHIELDS,792.5716800000001
38,WASHINGTON,VANTEC EUROPE LTD,SOUTH SHIELDS,SOUTH SHIELDS,1302.95184
39,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,1302.95184
40,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,1302.95184
41,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1302.95184
42,CANNOCK-CC - extra,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1302.95184
43,SOUTH SHIELDS,SHED NO 20,SOUTH SHIELDS,SOUTH SHIELDS,1095.9408
44,NORTH SHIELDS,FORMICA GROUP,SOUTH SHIELDS,SOUTH SHIELDS,1095.9408
45,BLYTH,APS LTD,SOUTH SHIELDS,BLYTH,1095.9408
46,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,662.5941600000001
47,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,662.5941600000001
48,SUNDERLAND,THE BATTERY PLANT (NOT VANTEC),SOUTH SHIELDS,SOUTH SHIELDS,662.5941600000001
49,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,SOUTH SHIELDS,662.5941600000001
50,WORKSOP,WILKINSON,SOUTH SHIELDS,SOUTH SHIELDS,938.96184
51,LUTTERWORTH,WINCANTON FOR BRITVIC,SOUTH SHIELDS,MIDDLESBROUGH,938.96184
52,DAVENTRY,WOODVALE STUDIOS LIMITED,SOUTH SHIELDS,TEESPORT,938.96184
53,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,FELIXSTOWE,1146.50232
54,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,1408.83984
55,DARLINGTON,ALDI DARLINGTON,Leeds,SOUTH SHIELDS,1408.83984
56,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1408.83984
57,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1408.83984
58,WORKSOP,WILKINSON,SOUTH SHIELDS,SOUTH SHIELDS,1794.00744
59,WORKSOP,WILKINSON,SOUTH SHIELDS,SOUTH SHIELDS,1794.00744
60,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,1794.00744
61,SHEFFIELD,NEWELL AND WRIGHT,SOUTH SHIELDS,SOUTH SHIELDS,1794.00744
62,SHEFFIELD,NEWELL AND WRIGHT,SOUTH SHIELDS,SOUTH SHIELDS,1794.00744
63,BRISTOL,,SOUTH SHIELDS,SOUTH SHIELDS,1082.96952
64,BRISTOL,,SOUTH SHIELDS,SOUTH SHIELDS,947.6976
65,WASHINGTON,VANTEC EAST ILN EXPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1027.37832
66,DARLINGTON,ALDI DARLINGTON,Leeds,SOUTH SHIELDS,1027.37832
67,GATESHEAD,WARDLEY CONTAINER DEPOT,SOUTH SHIELDS,LEEDS,1027.37832
68,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,1027.37832
69,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1027.37832
70,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1027.37832
71,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1027.37832
72,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1027.37832
73,GATESHEAD,WARDLEY CONTAINER DEPOT,SOUTH SHIELDS,LEEDS,661.53528
74,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,661.53528
75,DARLINGTON,ALDI DARLINGTON,Leeds,SOUTH SHIELDS,661.53528
76,GATESHEAD,WARDLEY CONTAINER DEPOT,SOUTH SHIELDS,CUMBERNAULD,715.5381600000001
77,JARROW,J BARBOUR & SONS LTD,SOUTH SHIELDS,SOUTH SHIELDS,715.5381600000001
78,COATBRIDGE-yes,FRASER HAULAGE,SOUTH SHIELDS,SOUTH SHIELDS,715.5381600000001
79,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,745.98096
80,WASHINGTON,VANTEC EAST ILN EXPORTS,SOUTH SHIELDS,SOUTH SHIELDS,745.98096
81,WAKEFIELD-84,CARD FACTORY,LEEDS,SOUTH SHIELDS,745.98096
82,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,SOUTH SHIELDS,745.98096
