LOAD/DISCHARGE,COLLECT FROM,LOAD/DISCHARGE CUSTOMER,DELIVER TO,COLLECT/DELIVER,MILES
BATHGATE,SOUTH SHIELDS,CONTAINER WORLD,BATHGATE,SOUTH SHIELDS - BATHGATE,500.9066667
BEDLINGTON,SOUTH SHIELDS,HODGES RECYCLING,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,156.27
BIRTLEY,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,BIRTLEY - SOUTH SHIELDS,467.5
BIRTLEY,FELIXSTOWE,KOMATSU UK,SOUTH SHIELDS,FELIXSTOWE - SOUTH SHIELDS,303.285
BIRTLEY,SHED NO 20 - VANTEC,KOMATSU UK,SOUTH SHIELDS,SHED NO 20 - VANTEC - SOUTH SHIELDS,311.77
BIRTLEY,SOUTH SHIELDS,KOMATSU UK,BIRTLEY,SOUTH SHIELDS - BIRTLEY,467.5
BIRTLEY,SOUTH SHIELDS,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,348.7392593
BLYTH,BLYTH,APS LTD,SOUTH SHIELDS,BLYTH - SOUTH SHIELDS,423.995
BOLDON,SOUTH SHIELDS,NIPPON EXPRESS WAREHOUSE,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,486.17
BRISTOL,SOUTH SHIELDS,NISBETS,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,439.005
BROOKENBY MARKET RASEN,SOUTH SHIELDS,CLASSIC FURNITURE,LEEDS,SOUTH SHIELDS - LEEDS,455.655
CALDICOT,SOUTH SHIELDS,WILKINSON - DC2,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,8.88
CANNOCK,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,CANNOCK - SOUTH SHIELDS,449.003
CANNOCK,SOUTH SHIELDS,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,479.5108696
CANNOCK-40FT,SOUTH SHIELDS,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,332.515
CANNOCK-CC - extra,SOUTH SHIELDS,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,541.04
CANNOCK-yes,SOUTH SHIELDS,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,366.3333333
CARLISLE,SOUTH SHIELDS,HESPIN WOOD WASTE MANAGEMENT,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,261.17
COATBRIDGE-yes,SOUTH SHIELDS,FRASER HAULAGE,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,298.63
CRAMLINGTON,SOUTH SHIELDS,CMP PRODUCTS LIMITED,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,315.24
DARLINGTON,Leeds,ALDI DARLINGTON,Leeds,Leeds - Leeds,419.32
DARLINGTON,SOUTH SHIELDS,ALDI DARLINGTON,Leeds,SOUTH SHIELDS - Leeds,385.4223077
DAVENTRY,TEESPORT,WOODVALE STUDIOS LIMITED,SOUTH SHIELDS,TEESPORT - SOUTH SHIELDS,427.43
DURHAM,SOUTH SHIELDS,KOMATSU UK LTD,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,369.4
EAGLESCLIFFE,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,EAGLESCLIFFE - SOUTH SHIELDS,304.3733333
EAGLESCLIFFE,SOUTH SHIELDS,TETLEY,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,311.9034783
FELLING,SOUTH SHIELDS,International Paint Ltd,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,353.11
