,J TYPE,DEL TIME,HAZ,DRIVING_TIME,LOAD/DISCHARGE,LOAD/DISCHARGE CUSTOMER,DELIVER TO,co2 LBS
0,CUR,10:30,-1,125,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,230.04168
1,EXP,13:00,-1,125,DARLINGTON,ALDI DARLINGTON,Leeds,230.04168
2,IMP,0:00,-1,599,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1054.9092
3,IMP,9:00,-1,599,NEWCASTLE UPON TYNE,Murray Hogg,SOUTH SHIELDS,1054.9092
4,IMP,13:00,-1,599,GATESHEAD,WHISTL FULFILMENT (UNIT 1),SOUTH SHIELDS,1054.9092
5,IMP,13:00,-1,599,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1054.9092
6,CUR,18:30,-1,599,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,1054.9092
7,IMP,22:00,-1,599,UNIT6 THE GROVE IND EST CONSET,GREENCROFT BOTTLING,SOUTH SHIELDS,1054.9092
8,CUR,5:30,-1,690,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,1353.77808
9,CUR,5:31,-1,690,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,1353.77808
10,CUR,9:15,-1,690,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,1353.77808
11,CUR,11:58,-1,690,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,1353.77808
12,CUR,13:30,-1,690,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,1353.77808
13,CUR,14:00,-1,690,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,1353.77808
14,IMP,6:00,-1,508,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,931.02024
15,IMP,10:00,-1,508,WASHINGTON,VANTEC EUROPE LTD,SOUTH SHIELDS,931.02024
16,CUR,14:00,-1,508,JARROW,J BARBOUR & SONS,SOUTH SHIELDS,931.02024
17,TRU,23:59,-1,508,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,931.02024
18,TRU,23:59,-1,508,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,931.02024
19,IMP,6:00,-1,476,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,870.66408
20,IMP,11:00,17,476,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,870.66408
21,IMP,21:00,-1,476,UNIT6 THE GROVE IND EST CONSET,GREENCROFT BOTTLING,SOUTH SHIELDS,870.66408
22,CUR,6:30,-1,685,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,1394.01552
23,CUR,6:31,-1,685,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,1394.01552
24,CUR,11:00,-1,685,NORTH SHIELDS,FORMICA GROUP,SOUTH SHIELDS,1394.01552
25,CUR,13:00,-1,685,BLYTH,APS LTD,SOUTH SHIELDS,1394.01552
26,TRU,23:59,-1,685,SHEFFIELD,NEWELL AND WRIGHT,SOUTH SHIELDS,1394.01552
27,TRU,23:59,-1,685,SHEFFIELD,NEWELL AND WRIGHT,SOUTH SHIELDS,1394.01552
28,IMP,6:30,-1,463,JARROW,J BARBOUR & SONS LTD,SOUTH SHIELDS,875.9584800000001
29,IMP,9:00,-1,463,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,875.9584800000001
30,IMP,10:00,-1,463,PETERLEE,NSK BEARINGS EUROPE LTD,SOUTH SHIELDS,875.9584800000001
31,CUR,14:00,-1,463,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,875.9584800000001
32,IMP,7:00,-1,524,SUNDERLAND,THE BATTERY PLANT (NOT VANTEC),SOUTH SHIELDS,792.5716800000001
33,EXP,7:01,-1,524,SUNDERLAND,THE BATTERY PLANT (NOT VANTEC),SOUTH SHIELDS,792.5716800000001
