,CUSTOMER,container_id,d
0,NISSAN MOTOR MANUFACTURING UK,AXIU1653829,6
1,NISSAN MOTOR MANUFACTURING UK,AXIU1653829,3
2,NISSAN MOTOR MANUFACTURING UK,MSKU1951479,4
3,NISSAN MOTOR MANUFACTURING UK,MSKU1951479,6
4,OCEAN NETWORK EXPRESS PTE LTD,NYKU4332424,1
5,OCEAN NETWORK EXPRESS PTE LTD,NYKU4332424,20
6,OCEAN NETWORK EXPRESS PTE LTD,NYKU4332424,10
7,NISSAN MOTOR MANUFACTURING UK,DFSU7378249,19
8,NISSAN MOTOR MANUFACTURING UK,DFSU7378249,11
9,NISSAN MOTOR MANUFACTURING UK,DFSU7378249,6
10,HAPAG LLOYD AG,DFSU7378249,19
11,HAPAG LLOYD AG,DFSU7378249,11
12,HAPAG LLOYD AG,DFSU7378249,6
13,NISSAN MOTOR MANUFACTURING UK,MRKU5679500,15
14,NISSAN MOTOR MANUFACTURING UK,MRKU5679500,7
15,NISSAN MOTOR MANUFACTURING UK,MRKU3755811,3
16,NISSAN MOTOR MANUFACTURING UK,MRKU3755811,6
17,NISSAN MOTOR MANUFACTURING UK,HLBU1088747,18
18,NISSAN MOTOR MANUFACTURING UK,HLBU1088747,13
19,NISSAN MOTOR MANUFACTURING UK,HLBU1088747,9
20,HAPAG LLOYD AG,HLBU1088747,18
21,HAPAG LLOYD AG,HLBU1088747,13
22,HAPAG LLOYD AG,HLBU1088747,9
23,NISSAN MOTOR MANUFACTURING UK,TCKU7315931,35
24,NISSAN MOTOR MANUFACTURING UK,TCKU7315931,7
25,NISSAN MOTOR MANUFACTURING UK,TCKU7315931,4
26,OCEAN NETWORK EXPRESS PTE LTD,KKFU7569954,28
27,OCEAN NETWORK EXPRESS PTE LTD,KKFU7569954,0
28,OCEAN NETWORK EXPRESS PTE LTD,KKFU7569954,8
29,NISSAN MOTOR MANUFACTURING UK,HASU4742051,7
30,NISSAN MOTOR MANUFACTURING UK,HASU4742051,3
31,KOMATSU UK LTD (CON),KKFU7971080,2
32,KOMATSU UK LTD (CON),KKFU7971080,61
33,NISSAN MOTOR MANUFACTURING UK,MSKU1779760,8
34,NISSAN MOTOR MANUFACTURING UK,MSKU1779760,16
35,NISSAN MOTOR MANUFACTURING UK,MSKU1779760,11
36,MAERSK A/S,MRSU4166059,0
37,MAERSK A/S,MRSU4166059,2
38,MAERSK A/S,MRSU4166059,15
39,NISSAN MOTOR MANUFACTURING UK,TCKU6794167,7
40,NISSAN MOTOR MANUFACTURING UK,TCKU6794167,8
41,MAERSK A/S,TCKU6794167,7
42,MAERSK A/S,TCKU6794167,8
43,HINE FREIGHT SERVICES LIMITED,FBLU0018532,11
44,HINE FREIGHT SERVICES LIMITED,FBLU0018532,4
45,HINE FREIGHT SERVICES LIMITED,FFAU2111921,8
46,HINE FREIGHT SERVICES LIMITED,FFAU2111921,11
47,NISSAN TRADING EUROPE LTD,TRHU2502835,27
48,NISSAN TRADING EUROPE LTD,TRHU2502835,6
49,KOMATSU UK LTD (CON),SEGU6545060,39
50,KOMATSU UK LTD (CON),SEGU6545060,8
51,OCEAN NETWORK EXPRESS PTE LTD,KKFU7592234,10
52,OCEAN NETWORK EXPRESS PTE LTD,KKFU7592234,7
53,OCEAN NETWORK EXPRESS PTE LTD,KKFU7592234,20
54,KOMATSU UK LTD (CON),KKFU7896392,6
55,KOMATSU UK LTD (CON),KKFU7896392,115
56,HINE FREIGHT SERVICES LIMITED,EGHU9770690,11
57,HINE FREIGHT SERVICES LIMITED,EGHU9770690,8
58,KOMATSU UK LTD (CON),TEMU8906105,6
59,KOMATSU UK LTD (CON),TEMU8906105,6
60,KOMATSU UK LTD (CON),TEMU8906105,9
61,OCEAN NETWORK EXPRESS PTE LTD,TEMU8906105,6
62,OCEAN NETWORK EXPRESS PTE LTD,TEMU8906105,6
63,OCEAN NETWORK EXPRESS PTE LTD,TEMU8906105,9
64,HILLEBRAND BULK LOGISTICS,FCIU6051026,10
65,HILLEBRAND BULK LOGISTICS,FCIU6051026,18
66,NISSAN MOTOR MANUFACTURING UK,MSKU9456640,15
67,NISSAN MOTOR MANUFACTURING UK,MSKU9456640,8
68,NISSAN MOTOR MANUFACTURING UK,HASU4234770,8
69,NISSAN MOTOR MANUFACTURING UK,HASU4234770,2
70,NISSAN MOTOR MANUFACTURING UK,HLBU9313398,27
71,NISSAN MOTOR MANUFACTURING UK,HLBU9313398,32
72,NISSAN MOTOR MANUFACTURING UK,MRKU2451666,6
73,NISSAN MOTOR MANUFACTURING UK,MRKU2451666,15
74,KOMATSU UK LTD (CON),TLLU5542926,0
75,KOMATSU UK LTD (CON),TLLU5542926,10
76,KOMATSU UK LTD (CON),TLLU5542926,6
77,OCEAN NETWORK EXPRESS PTE LTD,TLLU5542926,0
78,OCEAN NETWORK EXPRESS PTE LTD,TLLU5542926,10
79,OCEAN NETWORK EXPRESS PTE LTD,TLLU5542926,6
80,NISSAN MOTOR MANUFACTURING UK,MRSU3484395,6
81,NISSAN MOTOR MANUFACTURING UK,MRSU3484395,14
82,NISSAN MOTOR MANUFACTURING UK,MRSU3484395,0
83,NISSAN MOTOR MANUFACTURING UK,MRSU3484395,6
84,NISSAN MOTOR MANUFACTURING UK,MRSU3484395,14
85,NISSAN MOTOR MANUFACTURING UK,MRSU3484395,0
86,KOMATSU UK LTD (CON),TCLU8040245,7
87,KOMATSU UK LTD (CON),TCLU8040245,6
88,KOMATSU UK LTD (CON),TCLU8040245,1
89,OCEAN NETWORK EXPRESS PTE LTD,TCLU8040245,7
90,OCEAN NETWORK EXPRESS PTE LTD,TCLU8040245,6
