CUSTOMER,container_id,days
ALBATRANS LONDON (UK) LTD,FCIU6449679,1
NISSAN MOTOR MANUFACTURING UK,MRKU2659428,1
NISSAN MOTOR MANUFACTURING UK,MRKU2559814,1
NISSAN MOTOR MANUFACTURING UK,MRKU2532670,1
NISSAN MOTOR MANUFACTURING UK,MRKU2530488,1
NISSAN MOTOR MANUFACTURING UK,MRKU2514872,1
NISSAN MOTOR MANUFACTURING UK,MRKU2492460,1
NISSAN MOTOR MANUFACTURING UK,MRKU2454536,1
NISSAN MOTOR MANUFACTURING UK,MRKU2440487,1
NISSAN MOTOR MANUFACTURING UK,MRKU2396738,1
NISSAN MOTOR MANUFACTURING UK,MRKU2395794,1
NISSAN MOTOR MANUFACTURING UK,MRKU2379746,1
NISSAN MOTOR MANUFACTURING UK,MRKU2341000,1
NISSAN MOTOR MANUFACTURING UK,MRKU2280542,1
NISSAN MOTOR MANUFACTURING UK,MRKU2674166,1
NISSAN MOTOR MANUFACTURING UK,MRKU2277940,1
NISSAN MOTOR MANUFACTURING UK,MRKU2116966,1
NISSAN MOTOR MANUFACTURING UK,MRKU1056190,1
NISSAN MOTOR MANUFACTURING UK,MRKU0864315,1
NISSAN MOTOR MANUFACTURING UK,MRKU0716724,1
NISSAN MOTOR MANUFACTURING UK,MOTU0634397,1
NISSAN MOTOR MANUFACTURING UK,MNBU9076700,1
NISSAN MOTOR MANUFACTURING UK,MNBU9008259,1
NISSAN MOTOR MANUFACTURING UK,MNBU4150682,1
NISSAN MOTOR MANUFACTURING UK,MNBU4132400,1
NISSAN MOTOR MANUFACTURING UK,MNBU4107921,1
NISSAN MOTOR MANUFACTURING UK,MNBU3999309,1
NISSAN MOTOR MANUFACTURING UK,MNBU3963760,1
NISSAN MOTOR MANUFACTURING UK,MNBU3851013,1
NISSAN MOTOR MANUFACTURING UK,MRKU2202998,1
NISSAN MOTOR MANUFACTURING UK,MRKU2780980,1
NISSAN MOTOR MANUFACTURING UK,MRKU2794855,1
NISSAN MOTOR MANUFACTURING UK,MRKU2858245,1
NISSAN MOTOR MANUFACTURING UK,MRKU3842752,1
NISSAN MOTOR MANUFACTURING UK,MRKU3830330,1
NISSAN MOTOR MANUFACTURING UK,MRKU3729330,1
NISSAN MOTOR MANUFACTURING UK,MRKU3726407,1
NISSAN MOTOR MANUFACTURING UK,MRKU3578676,1
NISSAN MOTOR MANUFACTURING UK,MRKU3575208,1
NISSAN MOTOR MANUFACTURING UK,MRKU3574048,1
NISSAN MOTOR MANUFACTURING UK,MRKU3475174,1
NISSAN MOTOR MANUFACTURING UK,MRKU3470676,1
NISSAN MOTOR MANUFACTURING UK,MRKU3458520,1
NISSAN MOTOR MANUFACTURING UK,MRKU3451526,1
NISSAN MOTOR MANUFACTURING UK,MRKU3443069,1
NISSAN MOTOR MANUFACTURING UK,MRKU3409357,1
NISSAN MOTOR MANUFACTURING UK,MRKU3350428,1
NISSAN MOTOR MANUFACTURING UK,MRKU3330458,1
NISSAN MOTOR MANUFACTURING UK,MRKU3329035,1
NISSAN MOTOR MANUFACTURING UK,MRKU3309640,1
NISSAN MOTOR MANUFACTURING UK,MRKU3294509,1
NISSAN MOTOR MANUFACTURING UK,MRKU3138698,1
NISSAN MOTOR MANUFACTURING UK,MRKU3137114,1
NISSAN MOTOR MANUFACTURING UK,MRKU3130022,1
NISSAN MOTOR MANUFACTURING UK,MRKU3128961,1
NISSAN MOTOR MANUFACTURING UK,MRKU3088724,1
NISSAN MOTOR MANUFACTURING UK,MRKU3070453,1
NISSAN MOTOR MANUFACTURING UK,MRKU2965921,1
NISSAN MOTOR MANUFACTURING UK,MRKU2965855,1
NISSAN MOTOR MANUFACTURING UK,MRKU2952518,1
NISSAN MOTOR MANUFACTURING UK,MRKU2919870,1
NISSAN MOTOR MANUFACTURING UK,MRKU2880130,1
NISSAN MOTOR MANUFACTURING UK,MNBU3785035,1
NISSAN MOTOR MANUFACTURING UK,MRKU3856946,1
NISSAN MOTOR MANUFACTURING UK,MNBU3711618,1
NISSAN MOTOR MANUFACTURING UK,MNBU3458109,1
NISSAN MOTOR MANUFACTURING UK,INKU6356074,1
NISSAN MOTOR MANUFACTURING UK,INKU2553650,1
NISSAN MOTOR MANUFACTURING UK,INKU2227612,1
NISSAN MOTOR MANUFACTURING UK,ICOU6087114,1
NISSAN MOTOR MANUFACTURING UK,HLXU8762771,1
NISSAN MOTOR MANUFACTURING UK,HLXU8735821,1
NISSAN MOTOR MANUFACTURING UK,HLXU8726331,1
NISSAN MOTOR MANUFACTURING UK,HLXU8635400,1
NISSAN MOTOR MANUFACTURING UK,HLXU8315182,1
NISSAN MOTOR MANUFACTURING UK,HLXU8066639,1
NISSAN MOTOR MANUFACTURING UK,HLXU1417351,1
NISSAN MOTOR MANUFACTURING UK,HLBU9529181,1
NISSAN MOTOR MANUFACTURING UK,HLBU9496431,1
NISSAN MOTOR MANUFACTURING UK,KKFU7543899,1
NISSAN MOTOR MANUFACTURING UK,HLBU9491888,1
NISSAN MOTOR MANUFACTURING UK,HLBU9281372,1
NISSAN MOTOR MANUFACTURING UK,HLBU9211009,1
NISSAN MOTOR MANUFACTURING UK,HLBU9206471,1
NISSAN MOTOR MANUFACTURING UK,HLBU9169336,1
NISSAN MOTOR MANUFACTURING UK,HLBU9147419,1
NISSAN MOTOR MANUFACTURING UK,HLBU2115560,1
NISSAN MOTOR MANUFACTURING UK,HLBU1988651,1
NISSAN MOTOR MANUFACTURING UK,HLBU1088747,1
NISSAN MOTOR MANUFACTURING UK,HASU5209535,1
NISSAN MOTOR MANUFACTURING UK,HASU5190656,1
NISSAN MOTOR MANUFACTURING UK,HASU5174320,1
NISSAN MOTOR MANUFACTURING UK,HASU5142874,1
NISSAN MOTOR MANUFACTURING UK,HASU5141986,1
NISSAN MOTOR MANUFACTURING UK,HLBU9414069,1
NISSAN MOTOR MANUFACTURING UK,KKFU7550809,1
NISSAN MOTOR MANUFACTURING UK,KKFU7574098,1
NISSAN MOTOR MANUFACTURING UK,KKFU7645910,1
NISSAN MOTOR MANUFACTURING UK,MNBU3396964,1
NISSAN MOTOR MANUFACTURING UK,MNBU3244642,1
NISSAN MOTOR MANUFACTURING UK,MNBU3167680,1
NISSAN MOTOR MANUFACTURING UK,MNBU3143210,1
NISSAN MOTOR MANUFACTURING UK,MNBU3077904,1
NISSAN MOTOR MANUFACTURING UK,MNBU0583489,1
NISSAN MOTOR MANUFACTURING UK,MNBU0583365,1
NISSAN MOTOR MANUFACTURING UK,MNBU0483469,1
NISSAN MOTOR MANUFACTURING UK,MNBU0423388,1
NISSAN MOTOR MANUFACTURING UK,MNBU0394905,1
NISSAN MOTOR MANUFACTURING UK,MNBU0387470,1
NISSAN MOTOR MANUFACTURING UK,MNBU0350234,1
NISSAN MOTOR MANUFACTURING UK,MNBU0344381,1
NISSAN MOTOR MANUFACTURING UK,MNBU0285740,1
NISSAN MOTOR MANUFACTURING UK,MNBU0171795,1
NISSAN MOTOR MANUFACTURING UK,MNBU0171753,1
NISSAN MOTOR MANUFACTURING UK,MNBU0089429,1
NISSAN MOTOR MANUFACTURING UK,MIEU3069750,1
NISSAN MOTOR MANUFACTURING UK,MIEU2007857,1
NISSAN MOTOR MANUFACTURING UK,KKTU8166346,1
NISSAN MOTOR MANUFACTURING UK,KKFU8160446,1
NISSAN MOTOR MANUFACTURING UK,KKFU8140305,1
NISSAN MOTOR MANUFACTURING UK,KKFU8046109,1
NISSAN MOTOR MANUFACTURING UK,KKFU7991044,1
NISSAN MOTOR MANUFACTURING UK,KKFU7862896,1
NISSAN MOTOR MANUFACTURING UK,KKFU7857380,1
NISSAN MOTOR MANUFACTURING UK,KKFU7831262,1
NISSAN MOTOR MANUFACTURING UK,KKFU7784303,1
NISSAN MOTOR MANUFACTURING UK,KKFU7652610,1
NISSAN MOTOR MANUFACTURING UK,MNBU3629367,1
NISSAN MOTOR MANUFACTURING UK,MRKU3884505,1
NISSAN MOTOR MANUFACTURING UK,MRKU3904577,1
NISSAN MOTOR MANUFACTURING UK,MRKU3921677,1
NISSAN MOTOR MANUFACTURING UK,MRSU3674100,1
NISSAN MOTOR MANUFACTURING UK,MRSU3569321,1
NISSAN MOTOR MANUFACTURING UK,MRSU3564037,1
NISSAN MOTOR MANUFACTURING UK,MRSU3529144,1
NISSAN MOTOR MANUFACTURING UK,MRSU3505440,1
NISSAN MOTOR MANUFACTURING UK,MRSU3465179,1
NISSAN MOTOR MANUFACTURING UK,MRSU3453692,1
NISSAN MOTOR MANUFACTURING UK,MRSU3371423,1
NISSAN MOTOR MANUFACTURING UK,MRSU3349008,1
NISSAN MOTOR MANUFACTURING UK,MRSU3200903,1
NISSAN MOTOR MANUFACTURING UK,MRSU3190744,1
NISSAN MOTOR MANUFACTURING UK,MRSU3104685,1
NISSAN MOTOR MANUFACTURING UK,MRSU3102445,1
NISSAN MOTOR MANUFACTURING UK,MRSU3713001,1
NISSAN MOTOR MANUFACTURING UK,MRSU3055868,1
NISSAN MOTOR MANUFACTURING UK,MRKU9531510,1
NISSAN MOTOR MANUFACTURING UK,MRKU9470945,1
NISSAN MOTOR MANUFACTURING UK,MRKU8490649,1
NISSAN MOTOR MANUFACTURING UK,MRKU8393628,1
NISSAN MOTOR MANUFACTURING UK,MRKU8371911,1
NISSAN MOTOR MANUFACTURING UK,MRKU7710625,1
NISSAN MOTOR MANUFACTURING UK,MRKU7704793,1
NISSAN MOTOR MANUFACTURING UK,MRKU7010283,1
NISSAN MOTOR MANUFACTURING UK,MRKU6871179,1
NISSAN MOTOR MANUFACTURING UK,MRKU6632929,1
NISSAN MOTOR MANUFACTURING UK,MRKU6430790,1
NISSAN MOTOR MANUFACTURING UK,MRKU6400923,1
NISSAN MOTOR MANUFACTURING UK,MRKU6391009,1
NISSAN MOTOR MANUFACTURING UK,MRKU9620053,1
NISSAN MOTOR MANUFACTURING UK,MRSU3780186,1
NISSAN MOTOR MANUFACTURING UK,MRSU3855731,1
NISSAN MOTOR MANUFACTURING UK,MRSU3865426,1
NISSAN MOTOR MANUFACTURING UK,MRSU4569218,1
NISSAN MOTOR MANUFACTURING UK,MRSU4551158,1
NISSAN MOTOR MANUFACTURING UK,MRSU4550742,1
NISSAN MOTOR MANUFACTURING UK,MRSU4550104,1
NISSAN MOTOR MANUFACTURING UK,MRSU4327934,1
NISSAN MOTOR MANUFACTURING UK,MRSU4326706,1
NISSAN MOTOR MANUFACTURING UK,MRSU4326692,1
NISSAN MOTOR MANUFACTURING UK,MRSU4323461,1
NISSAN MOTOR MANUFACTURING UK,MRSU4306253,1
NISSAN MOTOR MANUFACTURING UK,MRSU4300785,1
NISSAN MOTOR MANUFACTURING UK,MRSU4300722,1
NISSAN MOTOR MANUFACTURING UK,MRSU4300677,1
NISSAN MOTOR MANUFACTURING UK,MRSU4300656,1
NISSAN MOTOR MANUFACTURING UK,MRSU4299555,1
NISSAN MOTOR MANUFACTURING UK,MRSU4299468,1
NISSAN MOTOR MANUFACTURING UK,MRSU4299410,1
NISSAN MOTOR MANUFACTURING UK,MRSU4299386,1
NISSAN MOTOR MANUFACTURING UK,MRSU4298712,1
NISSAN MOTOR MANUFACTURING UK,MRSU4298604,1
NISSAN MOTOR MANUFACTURING UK,MRSU4293259,1
NISSAN MOTOR MANUFACTURING UK,MRSU4153880,1
NISSAN MOTOR MANUFACTURING UK,MRSU4153874,1
NISSAN MOTOR MANUFACTURING UK,MRSU4139726,1
NISSAN MOTOR MANUFACTURING UK,MRSU4063533,1
NISSAN MOTOR MANUFACTURING UK,MRSU4053807,1
NISSAN MOTOR MANUFACTURING UK,MRSU3964115,1
NISSAN MOTOR MANUFACTURING UK,MRSU3955129,1
NISSAN MOTOR MANUFACTURING UK,MRSU3954267,1
NISSAN MOTOR MANUFACTURING UK,MRSU3947057,1
NISSAN MOTOR MANUFACTURING UK,MRKU6332480,1
NISSAN MOTOR MANUFACTURING UK,MRKU6331329,1
NISSAN MOTOR MANUFACTURING UK,MRKU6262486,1
NISSAN MOTOR MANUFACTURING UK,MRKU6166477,1
NISSAN MOTOR MANUFACTURING UK,MRKU4757188,1
NISSAN MOTOR MANUFACTURING UK,MRKU4750645,1
NISSAN MOTOR MANUFACTURING UK,MRKU4736800,1
NISSAN MOTOR MANUFACTURING UK,MRKU4700330,1
NISSAN MOTOR MANUFACTURING UK,MRKU4631116,1
NISSAN MOTOR MANUFACTURING UK,MRKU4612081,1
