CUSTOMER,container_id,days
MAERSK BATTERY PLANT,MNBU3112625,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,PSSU3914206,0 days 00:00:00
MAERSK A/S,TCNU1705752,0 days 00:00:00
OCEAN NETWORK EXPRESS PTE LTD,KKTU8159408,0 days 00:00:00
OCEAN NETWORK EXPRESS PTE LTD,KKFU7765108,0 days 00:00:00
KOMATSU UK LTD (CON),MRKU0171141,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU5802189,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,PSSU3925108,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,GLDU9621859,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,OOLU2851917,0 days 00:00:00
KOMATSU UK LTD (CON),MRKU0030082,0 days 00:00:00
KOMATSU UK LTD (CON),MOTU0731437,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,UACU5726689,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,GLDU9990918,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,UACU3786570,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TTNU1233345,0 days 00:00:00
KOMATSU UK LTD (CON),HASU5025137,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,HASU4186585,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU4768330,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU4866050,0 days 00:00:00
MAERSK BATTERY PLANT,MNBU3719239,0 days 00:00:00
KOMATSU UK LTD (CON),MRKU0438304,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU6004162,0 days 00:00:00
HAPAG LLOYD AG,TGBU6229601,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRSU4089986,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TCKU7045013,0 days 00:00:00
REGENCY FREIGHT SERVICES LTD,TCLU7383614,0 days 00:00:00
REGENCY FREIGHT SERVICES LTD,HAMU1296870,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,GATU1318660,0 days 00:00:00
KOMATSU UK LTD (CON),MRSU4400763,0 days 00:00:00
OCEAN NETWORK EXPRESS PTE LTD,TRHU4160921,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,HJMU2102832,0 days 00:00:00
MAERSK BATTERY PLANT,SUDU5901839,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,HLXU3019090,0 days 00:00:00
OCEAN NETWORK EXPRESS PTE LTD,TLLU5700908,0 days 00:00:00
MAERSK BATTERY PLANT,MSKU1346251,0 days 00:00:00
OCEAN NETWORK EXPRESS PTE LTD,TLLU5573280,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRSU3349008,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU9620053,0 days 00:00:00
OCEAN NETWORK EXPRESS PTE LTD,TCLU6345477,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,IKSU2688055,0 days 00:00:00
MAERSK BATTERY PLANT,MRKU3729330,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,PSSU3941454,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU4757188,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,HASU4522490,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TRHU4778102,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TEMU2553166,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,WFHU1188777,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU3729330,0 days 00:00:00
